Timestamp,What do you have for breakfast most weekdays?,(Optional) Anything else you'd like to add?
12/3/2024 13:34:23,🍳 I prepare/cook something (includes night before),"French press coffee and salt rising bread, toasted with butter. Is that cooking? Idk. Feels like it to me"
12/3/2024 13:35:19,☕️ Nothing / just coffee,
12/3/2024 13:36:53,🍳 I prepare/cook something (includes night before),"Every morning I eat a bowl of oatmeal with peanut butter, ground flax, almonds, and banana"
12/3/2024 13:38:04,🍳 I prepare/cook something (includes night before),I cook eggs and toast most mornings!
12/3/2024 13:38:12,☕️ Nothing / just coffee,I feel like I don’t have time to have breakfast in the mornings 
12/3/2024 13:42:33,☕️ Nothing / just coffee,
12/3/2024 13:46:00,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 13:47:05,☕️ Nothing / just coffee,"Breakfasts for me are reserved for waking up late days, like a big waffle spread on a random weekend. Breakfast food is the best kind of food, anytime of the day! I like it for dinner. Idk about it being the most important meal, cause I'm a bad case study there lol :) "
12/3/2024 13:48:34,🍳 I prepare/cook something (includes night before),Twice a week I treat myself to breakfast out normally Ithaca coffee (rooster sandwich ftw) or Adam’s corner cafe. I used to buy breakfast more until I started par baking potatoes and now I’m able to have homemade home fries + eggs and tea within 10-15min
12/3/2024 13:50:25,🍳 I prepare/cook something (includes night before),Yogurt w/fruit and nuts OR smoothie for warm weather. Oatmeal or toast for cold weather. Eggs/pancakes for weekends (this is not seasonal weirdly)
12/3/2024 13:58:44,🍳 I prepare/cook something (includes night before),Rolled oats or eggs and bacon
12/3/2024 13:59:58,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 14:06:59,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Toast w butter and cheese
12/3/2024 14:09:21,☕️ Nothing / just coffee,
12/3/2024 14:10:00,☕️ Nothing / just coffee,
12/3/2024 14:10:40,☕️ Nothing / just coffee,
12/3/2024 14:13:39,🍳 I prepare/cook something (includes night before),"Spouse and I almost always eat breakfast at home. It starts with Coffee Hour - coffee, pet and human cuddles, and convo.  Food comes after. During the week I alternate between over-easy/scrambled eggs and toast; toast PB and banana; yogurt with fruit, nuts, and honey; and cereal (hot or cold depending on the season) On the weekend, I might make omelets or waffles, or my spouse might make pancakes.  Breakfast for Dinner happens from time to time, too."
12/3/2024 14:16:33,🍳 I prepare/cook something (includes night before),"I need to eat breakfast but it doesn't tend to be elaborate at all- yogurt and granola, oatmeal, smoothie, sometimes I'll meal prep a batch of muffins. Eggs probably 1ish weekday a week? I try and save buying breakfast as an occasional treat, usually Gimme pastries, Ithaca bakery breakfast sandwich, or Dunkin breakfast sandwich. "
12/3/2024 14:16:37,🍳 I prepare/cook something (includes night before),Eggs on toast 
12/3/2024 14:21:48,🍳 I prepare/cook something (includes night before),"A fried or scrambled egg on toast with hot sauce, oatmeal, or sometimes egg and black bean tacos "
12/3/2024 14:23:25,🍳 I prepare/cook something (includes night before),Go to breakfast is a veggie omelet
12/3/2024 14:25:40,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Either skip it entirely or a bowl of wheatabix / raisin bran (I promise I'm not 80)
12/3/2024 14:27:35,☕️ Nothing / just coffee,
12/3/2024 14:35:31,🍳 I prepare/cook something (includes night before),"quinoa bowl with avocado, onions, cheese, hard boiled eggs and salsa"
12/3/2024 14:36:14,☕️ Nothing / just coffee,
12/3/2024 14:38:04,🍳 I prepare/cook something (includes night before),changes seasonally
12/3/2024 14:40:35,☕️ Nothing / just coffee,
12/3/2024 14:43:53,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",chobani flip yogurt and some fruit. then a sugary snack if i’m still hungry :0
12/3/2024 14:44:01,☕️ Nothing / just coffee,
12/3/2024 14:47:52,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Whole milled oats, microwaves in 1:15."
12/3/2024 14:48:47,🍳 I prepare/cook something (includes night before),"overnight oats, scrambled eggs and toast, smoothie"
12/3/2024 14:56:21,🍳 I prepare/cook something (includes night before),"I cook breakfast to entice my kids to get up in the morning. It usually consists of fruit, protein, and some carbs. For example, this morning's breakfast was buttery fried corn with sausage, fried egg, raspberries and grapes. Cooking breakfast is my wakeup routine."
12/3/2024 14:57:48,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 14:58:48,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",I maintain that chewing cereal with your mouth open deeply enhances the experience
12/3/2024 15:00:04,☕️ Nothing / just coffee,
12/3/2024 15:01:37,🍳 I prepare/cook something (includes night before),
12/3/2024 15:06:26,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 15:09:31,🍳 I prepare/cook something (includes night before),Scrambled eggs and early grey or Greek yogurt and earl grey tea 
12/3/2024 15:10:27,🍳 I prepare/cook something (includes night before),It’s just overnight oats which takes like 5 minutes the night before 
12/3/2024 15:23:09,💰 I buy breakfast,
12/3/2024 15:25:07,☕️ Nothing / just coffee,
12/3/2024 15:30:38,☕️ Nothing / just coffee,
12/3/2024 15:32:44,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",I have had oatmeal + protein powder + peanut butter every day for years now!
12/3/2024 15:37:09,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 15:37:47,🍳 I prepare/cook something (includes night before),"Strong hot black tea with: oatmeal or cold cereal with yoghurt; or toast with pb and banana; weekends, eggs or omelet with toast. This has been routine for many years; I'm not very functional if I skip breakfast"
12/3/2024 15:39:10,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 15:41:05,🍳 I prepare/cook something (includes night before),tofu scramble with soyrizo and a hash brown and a bagel with coffee every single day until I die 
12/3/2024 15:55:56,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Carb fruit protein
12/3/2024 15:56:39,🍳 I prepare/cook something (includes night before),"I have a complicated relationship with breakfast. I do think bfast can be the most important meal of the day, but I am often not at all hungry enough for it until around 10 or 11am. A delicious egg breakfast with veggies and toast, along with a cup of tea or coffee, is a dream! BUT: it totally zaps my energy… I often do best with a smoothie or a quick breakfast bar. And coffee on an empty stomach makes me irritable!
I just came back from visiting my mother. She’s all about the multi-course bfast. Start with fresh cut fruit. Then an egg main dish. Then bfast dessert! (a muffin, croissant, toast w/ jam etc)"
12/3/2024 15:59:15,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 15:59:39,☕️ Nothing / just coffee,
12/3/2024 16:06:55,☕️ Nothing / just coffee,"I don't eat breakfast... wake up, shower, and go to work. Wife and kids eat in the morning though."
12/3/2024 16:11:19,🍳 I prepare/cook something (includes night before),"Scrambled eggs, toast, and fruit or oatmeal with maple and walnuts, "
12/3/2024 16:12:42,🍳 I prepare/cook something (includes night before),I usually fry an egg and make toast. 
12/3/2024 16:13:15,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Half the time, just coffee "
12/3/2024 16:15:30,🍳 I prepare/cook something (includes night before),
12/3/2024 16:20:59,☕️ Nothing / just coffee,
12/3/2024 16:21:55,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 16:25:04,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","I usually eat toast, but I switch up whether I put cream cheese, jam or pb on it based on my mood. I've been in a cream cheese mood these days"
12/3/2024 16:32:10,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","I am always hungry in the morning so rarely skip breakfast. Overnight oats with seeds & protein powder on weekdays. Usually either make something on weekends since there is more time, or if not we’ll eat leftovers from previous days. Will definitely look out for your follow up, very interesting question!"
12/3/2024 16:35:10,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 16:38:19,🍳 I prepare/cook something (includes night before),Avocado toast
12/3/2024 16:39:55,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 16:52:20,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","changes over the seasons from cold cereal, yogurt and granola to hot oatmeal in colder months"
12/3/2024 16:54:38,☕️ Nothing / just coffee,
12/3/2024 16:58:17,☕️ Nothing / just coffee,
12/3/2024 16:58:54,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 17:03:03,🍳 I prepare/cook something (includes night before),"Yogurt bowls, toad-in-the-holes, oatmeal with fruit and nut butter, breakfast sandwich, French toast, cottage cheese with fruit "
12/3/2024 17:08:01,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",oatmeal and greek yogurt with fruit (all mixed together)
12/3/2024 17:10:05,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Savory over sweet! Protein is key! Fave brekkie is cottage cheese with flaky salt and drizzled with chili oil on toast (rosemary olive oil sourdough from wegs) 
12/3/2024 17:11:34,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 17:18:39,🍳 I prepare/cook something (includes night before),"In a typical week I'll have eaten all of the following for breakfast : eggs with starch and kale, protein shake, homemade pancakes or waffles, and cereal"
12/3/2024 17:28:04,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 17:52:14,☕️ Nothing / just coffee,
12/3/2024 18:02:41,☕️ Nothing / just coffee,I make a breakfast bagel (egg cheese vegan patty) for lunch though
12/3/2024 18:05:07,☕️ Nothing / just coffee,
12/3/2024 18:08:56,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 18:09:09,🍳 I prepare/cook something (includes night before),"Egg, ham, chedder cheese on a plain toasted bagel"
12/3/2024 18:15:36,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 18:16:54,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 18:22:09,☕️ Nothing / just coffee,
12/3/2024 18:28:12,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 18:30:11,💰 I buy breakfast,
12/3/2024 18:48:53,🍳 I prepare/cook something (includes night before),
12/3/2024 18:52:21,☕️ Nothing / just coffee,I stopped eating breakfast 8 years ago and I firmly believe it is unnecessary and only embedded in our culture for big cereal to make more money
12/3/2024 18:55:05,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Always coffee, sometimes a banana or cereal or yogurt/granola. Always with Wordle"
12/3/2024 18:55:38,🍳 I prepare/cook something (includes night before),"I have one very large cup of coffee w creamer. One hour later I have two or three scrambled eggs with sweet peppers and a little shredded cheese in them. If I’m feeling frisky I will fry a couple pieces of bacon or more likely some deli ham.  I do this five days a week. Weekends often do it as well but also flexible for going out or doing something different.

I don’t know why it felt fun to type this out but it did."
12/3/2024 18:59:42,☕️ Nothing / just coffee,
12/3/2024 19:13:09,🍳 I prepare/cook something (includes night before),"I always have eggs. But I keep it very simple with minimal prep.  If I have time I make an egg and cheese burrito-taco and if I don’t, hard boiled egg (the night before) and toast with butter and jam. I have a second simple breakfast at work at 9am of an oat bar and tea. 
On the weekends I have an egg sandwich or rice and kimchi with a fried egg. "
12/3/2024 19:13:21,☕️ Nothing / just coffee,breakfast is for weekends and vacations!
12/3/2024 19:15:50,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 19:22:28,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 19:26:59,☕️ Nothing / just coffee,
12/3/2024 19:29:27,☕️ Nothing / just coffee,Coffee
12/3/2024 19:35:36,🍳 I prepare/cook something (includes night before),
12/3/2024 19:36:04,🍳 I prepare/cook something (includes night before),Protein pancakes or egg sandwiches 
12/3/2024 19:50:41,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",A protein shake and a bowl of yogurt with apples and grape nuts!
12/3/2024 19:54:32,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 20:03:12,🍳 I prepare/cook something (includes night before),"Usually tofu and veggie scramble or eggs of some sort with toast, yogurt, fresh fruit, pour over coffee 😂"
12/3/2024 20:05:42,🍳 I prepare/cook something (includes night before),
12/3/2024 20:12:56,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Microwave 1/3 cup of quick oats with blueberries and and blanched sliced almonds for winter breakfast. Summer breakfast is yogurt with blueberries and granola. Weekends is bacon and eggs or sausage gravy over biscuits or French toast or waffles. All homemade. Much better made at home so don’t really go out to eat anymore.
12/3/2024 20:15:01,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 20:15:24,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","A pretty good mix of 1 and 2, probably more 2 if you’re counting a piece of toast any time before lunch. It’s like 3 hours after I get up, hard to call  it breakfast anymore but it’s eating something before lunch 🤓"
12/3/2024 20:15:47,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 20:19:07,🍳 I prepare/cook something (includes night before),"6 eggs, toast, blueberry/spinach smoothly. Every day for nearly 20 years"
12/3/2024 20:25:59,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Cereal. Almost always. Some rare weekends I might make eggs or pancakes or oatmeal but most of the time it’s a bowl of cereal. 
12/3/2024 20:26:35,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Granola and Greek yogurt 
12/3/2024 20:31:39,☕️ Nothing / just coffee,
